Page,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
51,3808,"Jayaram College of Engineering and Technology, Karattampatty, Pagalavadi, Thuraiyur Taluk, Tiruchirappalli-621014.",COMPUTER SCIENCE AND ENGINEERING,135.0*,—,—,—,—,—,—
51,3808,"Jayaram College of Engineering and Technology, Karattampatty, Pagalavadi, Thuraiyur Taluk, Tiruchirappalli-621014.",ELECTRONICS AND COMMUNICATION ENGINEERING,—,—,—,—,—,—,—
51,3808,"Jayaram College of Engineering and Technology, Karattampatty, Pagalavadi, Thuraiyur Taluk, Tiruchirappalli-621014.",ELECTRICAL AND ELECTRONICS ENGINEERING,—,—,—,—,—,—,—
51,3808,"Jayaram College of Engineering and Technology, Karattampatty, Pagalavadi, Thuraiyur Taluk, Tiruchirappalli-621014.",INFORMATION TECHNOLOGY,—,—,—,—,—,—,—
51,3808,"Jayaram College of Engineering and Technology, Karattampatty, Pagalavadi, Thuraiyur Taluk, Tiruchirappalli-621014.",MECHANICAL ENGINEERING,—,—,—,—,—,—,—
51,3810,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",Artificial Intelligence and Data Science,147.0,118.0,118.0,94.0,102.0,—,—
51,3810,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",AGRICULTURAL ENGINEERING,93.5,—,—,83.0*,—,—,—
51,3810,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),122.5,97.5*,122.0,101.5*,95.5,—,—
51,3810,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",BIO MEDICAL ENGINEERING,100.0,92.0*,80.5*,86.5*,87.0*,—,—
51,3810,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",BIO TECHNOLOGY,128.0,102.5*,107.5,111.5*,98.0,—,—
51,3810,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",CIVIL ENGINEERING,138.0,93.5*,—,131.5*,120.5,—,—
